score,brand,category,domain,founder,founder_role,emails,instagram,description,notes
9,FitAid,"beverage, fitness",lifeaidbevco.com,Orion Melehan,Founder,support@lifeaidbevco.com,//www.instagram.com/fitaid,"Delicious, naturally sweetened, functional fitness drinks and supplements for active lives. FITAID by LIFEAID supports recovery with quality ingredients and no junk— trusted by athletes worldwide.",
9,TribeTokes,"beauty, health-wellness",tribetokes.com,,,team@tribetokes.com,https://www.instagram.com/tribetokes,"Shop lab-tested THCa vape carts, CBD gummies, Delta 8 flower and pain creams at TribeTokes. Women-owned, 6,200+ verified reviews. Free shipping over $75.",
8,CrunchLabs,"bicycle, everyday-carry, kids, lifestyle",crunchlabs.com,Mark Rober,Founder,help@crunchlabs.com,http://instagram.com/crunchlabs,"Best gift ever! CrunchLabs offers monthly STEM subscription box (toys & robots) for kids, teens & adults, designed by former NASA engineer and YouTuber Mark Rober. With our fun AND educational Creativ",
8,Flaus,personal-care-4,goflaus.com,Samantha Coxe,Founder,support@goflaus.com,https://www.instagram.com/goflaus,"Discover the world’s first eco-friendly, super-healthy electric flosser that makes flossing as quick and easy as brushing your teeth - and that's the real tooth!",
8,Glamnetic,"beauty, lifestyle, personal-care-4, swimsuit",glamnetic.com,Ann McFerran,Founder,support@glamnetic.com,https://www.instagram.com/glamnetic,"The internet's favorite beauty hacks, from our best-selling magnetic lashes to over 70 styles of trend-driven and classic press-on nails. Fake lashes and nails don't have to be a bad thing! Upgrade yo",
8,Hydrow,"fitness, luggage, pet",hydrow.com,Bruce Smith,Founder,support@hydrow.com,,"Build strength with fluid motion. Shop Hydrow rowing machines—Arc, Wave & Origin—plus Athlete-led workouts, HydroMetrics, and tailored programs.",
8,Qualia,"beauty, bicycle, health-wellness, lifestyle",qualialife.com,,,support@qualialife.com,https://www.instagram.com/qualialife,"We are a collective of scientists, technologists, academics, and creatives empowering individuals with ethical and elegant tools for optimized wellbeing.",
7,90+ Cellars,"beverage, everyday-carry, food, personal-care-4",ninetypluscellars.com,,,info@latitudebeverage.com,https://www.instagram.com/90pluscellars,"At 90+ Cellars, we believe that everyone deserves a great glass of wine! Explore our global selection of great wines, from Prosecco to Pinot Noir and beyond. Buy our wine online, join the wine club, o",
7,Allkinds,"beverage, health-wellness, kids, personal-care-4",allkinds.com,,,customercare@allkinds.com,https://www.instagram.com/allkinds,"allkinds is a skin, hair and self-care brand for the next-gen. shop skin, hair, and body care made with gentle ingredients and routines they'll love.",
7,Awara,"bicycle, food, furniture",awarasleep.com,,,support@awarasleep.com,https://www.instagram.com/accounts/login,"Luxury comfort meets sustainability. Explore Awara's range of premium mattresses and bedding made from responsibly sourced, organic materials.",
7,Bare Babe,"apparel, cookware, kids, pet",bare-babe.com,,,,https://www.instagram.com/itsbarebabe,"Looking for the best nipple covers and pasties for women? Look no further than Bare Babe! Our silicone nipple covers, breast petals, and pasties provide discreet coverage and support. Shop now for the",
7,Bespoke Post,"everyday-carry, furniture, health-wellness, kids",bespokepost.com,,,help@bespokepost.com,https://instagram.com/bespokepost,"Rugged-meets-refined menswear and gear, crafted for quality and built to last - all at an exceptional value.",
